文字,文字.1,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称.1,No.,Unnamed: 9
扇,扇,6247,25159,62315,uni6247uE0101-JP,18616,uni6247-TW,,
扚,扚,625A,25178,18653,uni625A-JP,18654,uni625A-CN,,
抨,抨,62A8,25256,18765,uni62A8-JP,18766,uni62A8-CN,,
拌,拌,62CC,25292,18816,uni62CC-JP,62322,uni62CCuE0101-JP,,
拐,拐,62D0,25296,18824,uni62D0-JP,18824,uni62D0-JP,,
拒,拒,62D2,25298,62325,uni62D2uE0101-JP,18826,uni62D2-JP,,
拳,拳,62F3,25331,62326,uni62F3uE0101-JP,18871,uni62F3-JP,,
挈,挈,6308,25352,18905,uni6308-JP,18907,uni6308-TW,,
挧,挧,6327,25383,18951,uni6327-JP,18952,uni6327-CN,,
挪,挪,632A,25386,18959,uni632A-JP,18960,uni632A-CN,,
捁,捁,6341,25409,18993,uni6341-JP,18994,uni6341-CN,,
捋,捋,634B,25419,19010,uni634B-JP,19011,uni634B-CN,,
捎,捎,634E,25422,19015,uni634E-JP,19016,uni634E-CN,,
採,採,63A1,25505,62336,uni63A1uE0101-JP,19153,uni63A1-JP,,
掤,掤,63A4,25508,19158,uni63A4-JP,19159,uni63A4-CN,,
揃,揃,63C3,25539,19208,uni63C3-JP,61932,uni63C3-JP90-JP,,
援,援,63F4,25588,62339,uni63F4uE0101-JP,19300,uni63F4-CN,,
揸,揸,63F8,25592,19306,uni63F8-JP,19307,uni63F8-CN,,
搆,搆,6406,25606,62340,uni6406uE0101-JP,19325,uni6406-JP,,
搨,搨,6428,25640,62343,uni6428uE0101-JP,19391,uni6428-CN,,
搯,搯,642F,25647,19408,uni642F-JP,19409,uni642F-CN,,
摒,摒,6452,25682,19466,uni6452-JP,19467,uni6452-CN,,
摺,摺,647A,25722,19540,uni647A-JP,61934,uni647A-JP90-JP,,
撇,撇,6487,25735,19559,uni6487-JP,19560,uni6487-CN,,
撙,撙,6499,25753,19592,uni6499-JP,19593,uni6499-CN,,
撝,撝,649D,25757,19602,uni649D-JP,19604,uni649D-TW,,
撦,撦,64A6,25766,19618,uni64A6-JP,19619,uni64A6-CN,,
擄,擄,64C4,25796,19674,uni64C4-JP,19675,uni64C4-CN,,
擲,擲,64F2,25842,19763,uni64F2-JP,19764,uni64F2-CN,,
擶,擶,64F6,25846,62347,uni64F6uE0101-JP,19773,uni64F6-JP,,
敝,敝,655D,25949,19966,uni655D-JP,19967,uni655D-CN,,
敞,敞,655E,25950,19968,uni655E-JP,62350,uni655EuE0101-JP,,
斃,斃,6583,25987,20026,uni6583-JP,62353,uni6583uE0101-JP,,
斠,斠,65A0,26016,20078,uni65A0-JP,20079,uni65A0-CN,,
既,既,65E2,26082,58930,uniFA42-JP,20212,uni65E2-JP,,
明,明,660E,26126,62362,uni660EuE0101-JP,20282,uni660E-JP,,
晟,晟,665F,26207,62364,uni665FuE0101-JP,20400,uni665F-CN,,
晠,晠,6660,26208,20401,uni6660-JP,20402,uni6660-CN,,
