標準,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,被修改或替換的字圖名称,IVD集,默認字圖,註釋
冢,51A2,20898,E0102,10986,uni51A2uE0102-JP,uni51A2-CN,Hanyo-Denshi,IVS,
冯,51AF,20911,/,11003,uni51AF-CN,uni51AF-CN,/,All,
凯,51EF,20975,E0101,11108,uni51EF-CN,uni51EF-CN,Hanyo-Denshi,All,
冻,51BB,20923,/,11025,uni51BB-CN,uni51BB-CN,/,All,
凇,51C7,20935,/,11043,uni51C7-CL,uni51C7-CN,/,All,
凈,51C8,20936,E01EA,11045,uni51C8-M,uni51C8-CN,PUA,M,
凌,51CC,20940,E0102,11055,uni51CCuE0102-JP,uni51CC-CN,Hanyo-Denshi,IVS,
凑,51D1,20945,E0102,11061,uni51D1-CL,uni51CF-CN,MSARG,All,
击,51FB,20987,/,11125,uni51FB-CN,uni51FB-CN,/,All,
凿,51FF,20991,/,11133,uni51FF-CM,uni51FF-CN,/,All,
创,521B,21019,/,11169,uni521B-CN,uni521B-CN,/,All,
判,5224,21028,E01EA,11182,uni5224-M,uni5224-CN,PUA,M,
刻,523B,21051,E0102,11214,uni523BuE0102-JP,uni523B-CN,Hanyo-Denshi,IVS,
刽,523D,21053,/,11218,uni523D-CM,uni523D-CN,/,All,
剁,5241,21057,/,11222,uni5241-CL,uni5241-CN,/,All,
剂,5242,21058,/,11224,uni5242-CN,uni5242-CN,/,All,
剎,524E,21070,/,11239,uni524E-CL,uni524E-TW,/,All,
剑,5251,21073,/,11244,uni5251-CN,uni5251-CN,/,All,
割,5272,21106,E01EA,11297,uni5272-CM,uni5272-CN,PUA,CM,
剷,5277,21111,E01EA,11309,uni5277-CM,uni5277-CN,PUA,CM,
动,52A8,21160,/,11393,uni52A8-CN,uni52A8-CN,/,All,
劵,52B5,21173,E0102,11410,uni52B5-M,uni52B5-CN,Hanyo-Denshi,M,
劾,52BE,21182,E0102,11424,uni52BEuE0102-JP,uni52BE-CN,Hanyo-Denshi,IVS,
勂,52C2,21186,E0100,11430,uni52C2-CL,uni52C2-HK,Hanyo-Denshi,CL,
勥,52E5,21221,E0102,11487,uni52E5uE0102-JP,uni52E5-CN,Hanyo-Denshi,"CL,CM",
勱,52F1,21233,E0102,11504,uni52F1uE0102-JP,uni52F1-TW,Hanyo-Denshi,IVS,
勲,52F2,21234,E0102,11508,uni52F2uE0102-JP,uni52F4-TW,Hanyo-Denshi,IVS,
勳,52F3,21235,E0102,11512,uni52F3uE0102-JP,uni52F6-CN,Hanyo-Denshi,IVS,
勵,52F5,21237,E0102,11510,uni52F5uE0102-JP,uni52F5-TW,Hanyo-Denshi,IVS,
勸,52F8,21240,E0102,11516,uni52F8uE0102-JP,uni52F8-CN,Hanyo-Denshi,IVS,
匏,530F,21263,E0102,11551,uni530FuE0102-JP,uni530F-CN,Hanyo-Denshi,IVS,
匹,5339,21305,E0103,11631,uni5339uE0102-JP,uni5339-CN,Hanyo-Denshi,IVS,
医,533B,21307,E0102,11636,uni533BuE0102-JP,uni533B-CN,Hanyo-Denshi,IVS,
匾,533E,21310,E0102,11646,uni533EuE0102-JP,uni533E-CN,Hanyo-Denshi,IVS,
匾,533E,21310,E01EA,11647,uni533E-CM,uni533E-TW,PUA,CM,
卞,535E,21342,E0102,11691,uni535EuE0102-JP,uni535E-CN,Hanyo-Denshi,IVS,
即,5373,21363,E0102,11722,uni5373uE0102-JP,uni5373-CN,Hanyo-Denshi,IVS,
卷,5377,21367,E0103,11729,uni5377-M,uni5377-CN,Hanyo-Denshi,M,
卸,5378,21368,E0102,11731,uni5378uE0102-JP,uni5378-TW,Moji-Joho,IVS,
卽,537D,21373,E0102,11742,uni537D-CL,uni537E-CN,Hanyo-Denshi,All,
压,538B,21387,E0100,11756,uni538B-CL,uni538A-HK,Hanyo-Denshi,IVS,*俗字字形
县,53BF,21439,/,11841,uni53BF-CN,uni53BF-CN,/,All,
