標準,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,被修改或替換的字圖名称,IVD集,默認字圖,註釋
恾,607E,24702,E01EA,17767,uni607E-M,uni6077-HK,Hanyo-Denshi,M,
恾,607E,24702,E0102,17775,uni607EuE0102-JP,uni607E-CN,Hanyo-Denshi,IVS,
恾,607E,24702,E0103,17776,uni607EuE0103-JP,uni607E-HK,Hanyo-Denshi,IVS,
悙,6099,24729,E0100,17821,uni6099-CL,uni6099-CN,Hanyo-Denshi,All,
您,60A8,24744,E0102,17851,uni60A8uE0102-JP,uni60A8-CN,Hanyo-Denshi,IVS,
悬,60AC,24748,/,17856,uni60AC-CN,uni60AC-CN,/,All,
悯,60AF,24751,/,17859,uni60AF-CN,uni60AF-CN,/,All,
悾,60BE,24766,E0102,17890,uni60BEuE0102-JP,uni60BE-CN,Hanyo-Denshi,IVS,
惇,60C7,24775,E0102,17910,uni60C7uE0102-JP,uni60C7-CN,Hanyo-Denshi,IVS,
惓,60D3,24787,E0102,17927,uni60D3uE0102-JP,uni60D3-CN,Hanyo-Denshi,IVS,
惓,60D3,24787,E01EA,17929,uni60D3-M,uni60D4-TW,PUA,M,
惠,60E0,24800,E0102,17950,uni60E0uE0102-JP,uni60DF-CN,Hanyo-Denshi,IVS,
惥,60E5,24805,E0102,17953,uni60E5uE0102-JP,uni60E1-CN,Hanyo-Denshi,"CL,CM",
惦,60E6,24806,/,17958,uni60E6-CL,uni60E6-CN,/,All,
惧,60E7,24807,E0102,17961,uni60E7-CM,uni60E8-CN,Hanyo-Denshi,CM,
惬,60EC,24812,/,17965,uni60EC-CM,uni60EC-CN,/,All,
惭,60ED,24813,/,17966,uni60ED-CN,uni60ED-CN,/,All,
愈,6108,24840,E01EA,18011,uni6108-CM,uni6108-CN,PUA,CM,
愈,6108,24840,E0104,18012,uni6108uE0104-JP,uni6108-TW,Hanyo-Denshi,IVS,
愈,6108,24840,E0105,18015,uni6108uE0105-JP,uni6109-TW,Hanyo-Denshi,IVS,
愉,6109,24841,E01EA,18014,uni6109-CM,uni6109-CN,PUA,CM,
愒,6112,24850,E0102,18032,uni6112uE0102-JP,uni6112-CN,Hanyo-Denshi,IVS,
愔,6114,24852,E0102,18037,uni6114uE0102-JP,uni6114-CN,Hanyo-Denshi,IVS,
愕,6115,24853,E0102,18039,uni6115uE0102-JP,uni6115-CN,Hanyo-Denshi,IVS,
愖,6116,24854,E0102,18041,uni6116uE0102-JP,uni6116-CN,Moji-Joho,IVS,
愛,611B,24859,E0103,18052,uni611BuE0103-JP,uni611C-CN,Hanyo-Denshi,IVS,
愣,6123,24867,E01EA,18063,uni6123-CL,uni6122-CN,PUA,CL,
愣,6123,24867,E01EB,18064,uni6123-M,uni6123-CN,PUA,"M,CM",
愾,613E,24894,E01EA,18113,uni613E-CM,uni613E-CN,PUA,CM,
愿,613F,24895,E0102,18116,uni613FuE0102-JP,uni613F-CN,Hanyo-Denshi,IVS,
慆,6146,24902,E01EA,18130,uni6146-M,uni6146-CN,PUA,M,
慈,6148,24904,E0103,18135,uni6148uE0103-JP,uni6148-CN,Hanyo-Denshi,IVS,
慈,6148,24904,E0104,61827,u2F8A6-CL,u2F8A6-HK,Hanyo-Denshi,IVS,
慌,614C,24908,E0103,18145,uni614CuE0103-JP,uni614C-CN,Hanyo-Denshi,IVS,
慌,614C,24908,E0104,18146,uni614CuE0104-JP,uni614C-TW,Hanyo-Denshi,IVS,
慔,6154,24916,E0100,18157,uni6154uE0100-JP,uni6153-TW,Hanyo-Denshi,IVS,
慔,6154,24916,E0101,18158,uni6154-CL,uni6154-TW,Hanyo-Denshi,All,
慝,615D,24925,E0102,18174,uni615DuE0102-JP,uni615D-CN,Hanyo-Denshi,IVS,
慝,615D,24925,E0103,18175,uni615DuE0103-JP,uni615D-TW,Hanyo-Denshi,IVS,
慝,615D,24925,E01EA,18169,uni6154-V-CL,uni615A-CN,PUA,IVS,
慞,615E,24926,E0102,18177,uni615EuE0102-JP,uni615E-CN,Hanyo-Denshi,IVS,
慥,6165,24933,E01EA,18190,uni6165-M,uni6165-CN,PUA,M,
慥,6165,24933,E0102,18191,uni6165uE0102-JP,uni6165-TW,Hanyo-Denshi,IVS,
慥,6165,24933,E0103,18192,uni6165uE0103-JP,uni6165-HK,Hanyo-Denshi,IVS,
慶,6176,24950,E0102,18227,uni6176uE0102-JP,uni6176-CN,Hanyo-Denshi,IVS,
憂,6182,24962,E0102,18256,uni6182uE0102-JP,uni6182-TW,Hanyo-Denshi,IVS,
憂,6182,24962,E0103,18258,uni6182uE0103-JP,uni6183-CN,Hanyo-Denshi,IVS,
憋,618B,24971,E01EA,18271,uni618B-M,uni618B-CN,PUA,M,
憓,6193,24979,E0102,18287,uni6193uE0102-JP,uni6193-CN,Hanyo-Denshi,IVS,
憛,619B,24987,E0100,18301,uni619BuE0100-JP,uni619D-CN,Hanyo-Denshi,IVS,
憤,61A4,24996,E0103,18312,uni61A4uE0102-JP,uni61A4-TW,Hanyo-Denshi,IVS,
憧,61A7,24999,E0102,18316,uni61A7uE0102-JP,uni61A7-CN,Hanyo-Denshi,IVS,
憯,61AF,25007,E0100,18333,uni61AFuE0100-JP,uni61AF-CN,Hanyo-Denshi,IVS,
憯,61AF,25007,E0101,18334,uni61AF-CL,uni61AF-TW,Hanyo-Denshi,All,
憶,61B6,25014,E0102,18349,uni61B6uE0102-JP,uni61B6-CN,Hanyo-Denshi,IVS,
憼,61BC,25020,E0102,18362,uni61BCuE0102-JP,uni61BC-TW,Hanyo-Denshi,IVS,
懋,61CB,25035,E0102,18395,uni61CBuE0102-JP,uni61CB-TW,Moji-Joho,IVS,
懐,61D0,25040,E0102,18406,uni61D0uE0102-JP,uni61D0-CN,Hanyo-Denshi,IVS,
懐,61D0,25040,E01EA,18404,uni61D0-V-CM,uni61CF-CN,Hanyo-Denshi,IVS,
懜,61DC,25052,E01EA,18422,uni61DC-CL,uni61DC-CN,PUA,All,
懞,61DE,25054,E0102,18425,uni61DEuE0102-JP,uni61DE-CN,Hanyo-Denshi,IVS,
懞,61DE,25054,E0103,18426,uni61DEuE0103-JP,uni61DE-TW,Hanyo-Denshi,IVS,
懬,61EC,25068,E0102,18453,uni61ECuE0102-JP,uni61EC-CN,Hanyo-Denshi,IVS,
懬,61EC,25068,E01EA,18457,uni61EC-V-M,uni61ED-HK,PUA,IVS,
懭,61ED,25069,E0102,18455,uni61EDuE0102-JP,uni61ED-CN,Hanyo-Denshi,IVS,
懭,61ED,25069,E01EA,18456,uni61ED-V-M,uni61ED-TW,PUA,IVS,
懲,61F2,25074,E0106,18465,uni61F2uE0105-JP,uni61F2-CN,Hanyo-Denshi,IVS,
懶,61F6,25078,E0102,18474,uni61F6-CM,uni61F7-CN,Hanyo-Denshi,CM,
懽,61FD,25085,E0102,18487,uni61FDuE0102-JP,uni61FD-CN,Hanyo-Denshi,IVS,
懾,61FE,25086,E0103,18490,uni61FEuE0103-JP,uni61FE-CN,Moji-Joho,IVS,
懿,61FF,25087,E0102,18493,uni61FFuE0102-JP,uni61FF-CN,Hanyo-Denshi,IVS,
戅,6205,25093,E0100,18503,uni6205-CL,uni6204-CN,Hanyo-Denshi,All,
戅,6205,25093,E0101,18504,uni6205uE0102-JP,uni6205-CN,Hanyo-Denshi,IVS,
戆,6206,25094,/,18505,uni6206-CN,uni6206-CN,/,All,
戇,6207,25095,E0102,18507,uni6207uE0102-JP,uni6207-CN,Hanyo-Denshi,IVS,
戔,6214,25108,E0102,18495,uni6214uE0102-JP,uni61FF-HK,Hanyo-Denshi,IVS,
戠,6220,25120,E0102,18536,uni6220uE0102-JP,uni6220-CN,Hanyo-Denshi,IVS,
戠,6220,25120,E0103,18537,uni6220uE0103-JP,uni6220-TW,Hanyo-Denshi,IVS,
戢,6222,25122,E0102,18542,uni6222uE0102-JP,uni6222-CN,Hanyo-Denshi,IVS,
戮,622E,25134,E0102,18564,uni61F7-M,uni622E-CN,Hanyo-Denshi,"M,CM",
戳,6233,25139,E01EA,18572,uni6233-M,uni6233-CN,PUA,"M,CM",
戳,6233,25139,E0102,18573,uni6233uE0102-JP,uni6233-TW,Hanyo-Denshi,IVS,
户,6237,25143,E01EA,18578,uni6237-CM,uni6236-CN,PUA,All,
戺,623A,25146,E01EA,18583,uni623A-CL,uni623A-CN,PUA,All,
戺,623A,25146,E01EB,18584,uni623A-V-CL,uni623A-TW,PUA,IVS,
戻,623B,25147,E0103,18586,uni623BuE0102-JP,uni623B-CN,Hanyo-Denshi,"CL,M",
房,623F,25151,E0104,18595,uni623FuE0104-JP,uni623F-CN,Hanyo-Denshi,IVS,
扆,6246,25158,E0102,18612,uni6246uE0102-JP,uni6246-CN,Hanyo-Denshi,IVS,
扇,6247,25159,E01EA,18615,uni6247-M,uni6247-CN,PUA,M,
扩,6269,25193,/,18674,uni6269-CN,uni6269-CN,/,All,
抃,6283,25219,E0102,18715,uni6283uE0102-JP,uni6283-CN,Moji-Joho,IVS,
抠,62A0,25248,/,18757,uni62A0-CM,uni62A0-CN,/,All,
抡,62A1,25249,/,18758,uni62A1-CN,uni62A1-CN,/,All,
抢,62A2,25250,/,18759,uni62A2-CN,uni62A2-CN,/,All,
护,62A4,25252,E01EB,18749,uni62A4-V-CN,uni6298-CN,PUA,CM,
护,62A4,25252,E01EA,18761,uni62A4-CN,uni62A4-CN,PUA,"CL,M",
拄,62C4,25284,E01EA,18804,uni62C4-M,uni62C4-CN,PUA,"M,CM",
拐,62D0,25296,E0104,18823,uni62D0uE0104-JP,uni62CF-TW,Hanyo-Denshi,IVS,
拧,62E7,25319,/,18857,uni62E7-CN,uni62E7-CN,/,All,
拴,62F4,25332,E0102,18874,uni62F4-CM,uni62F4-CN,Hanyo-Denshi,CM,
拼,62FC,25340,E0100,18888,uni62FC-JP,uni62FC-CN,Adobe-Japan1,"M,CM",AJ1 Glyph Replacement
拼,62FC,25340,E0102,18887,uni62FCuE0102-JP,uni62FB-TW,Hanyo-Denshi,CL,
挤,6324,25380,/,18948,uni6324-CN,uni6324-CN,/,All,
挼,633C,25404,E0102,18987,uni633C-M,uni633C-CN,Hanyo-Denshi,M,
捄,6344,25412,E0102,19000,uni6344uE0102-JP,uni6344-CN,Hanyo-Denshi,IVS,
捊,634A,25418,E0102,19009,uni634A-M,uni634A-CN,Hanyo-Denshi,M,
捍,634D,25421,E0102,19017,uni634EuE0102-JP,uni634E-TW,Moji-Joho,IVS,
捓,6353,25427,E0102,19025,uni6353-CL,uni6353-CN,Hanyo-Denshi,All,
捡,6361,25441,/,19045,uni6361-CN,uni6361-CN,/,All,
捣,6363,25443,/,19047,uni6363-CN,uni6363-CN,/,All,
捩,6369,25449,E01EA,19060,uni6369-CM,uni6369-TW,PUA,CM,
捲,6372,25458,E01EA,19071,uni6372-M,uni6372-CN,PUA,M,
掅,6385,25477,E01EA,19107,uni6385-CL,uni6385-TW,PUA,"CL,CM",
掐,6390,25488,E01EA,19124,uni6390-CM,uni6390-CN,PUA,CM,
掕,6395,25493,E0102,19132,uni6395uE0102-JP,uni6395-CN,Hanyo-Denshi,IVS,
掙,6399,25497,E01EA,19140,uni6399-M,uni6399-CN,PUA,M,
掰,63B0,25520,E01EA,19184,uni63B0-CL,uni63AF-TW,PUA,All,
掰,63B0,25520,E01EB,19185,uni63B0-V-CL,uni63B0-CN,PUA,IVS,
掰,63B0,25520,E01EC,19186,uni63B0-CN,uni63B0-TW,PUA,IVS,
掺,63BA,25530,/,19196,uni63BA-CM,uni63BA-CN,/,All,
揄,63C4,25540,E0102,19212,uni63C4-CM,uni63C4-CN,Hanyo-Denshi,M,
揅,63C5,25541,E0103,19213,uni63C5uE0103-JP,uni63C4-TW,Hanyo-Denshi,"CL,CM",
揍,63CD,25549,E01EA,19227,uni63CD-CL,uni63CD-CN,PUA,All,
揍,63CD,25549,E01EB,19229,uni63CD-JP,uni63CE-CN,PUA,IVS,
插,63D2,25554,E01EA,19236,uni63D2-CM,uni63D2-CN,PUA,CM,
揖,63D6,25558,E0102,19246,uni63D6uE0102-JP,uni63D6-TW,Moji-Joho,IVS,
揠,63E0,25568,E0102,19264,uni63E0uE0102-JP,uni63E0-CN,Hanyo-Denshi,IVS,
揥,63E5,25573,E0102,19272,uni63E5uE0102-JP,uni63E5-CN,Hanyo-Denshi,IVS,
揬,63EC,25580,E0102,19284,uni63ECuE0102-JP,uni63EC-CN,Hanyo-Denshi,IVS,
揽,63FD,25597,/,19316,uni63FD-CN,uni63FD-CN,/,All,
搂,6402,25602,/,19321,uni6402-CM,uni6402-CN,/,All,
搒,6412,25618,E0102,19344,uni6412uE0102-JP,uni6412-CN,Hanyo-Denshi,IVS,
搤,6424,25636,E01EA,19380,uni6424-M,uni6424-CN,PUA,M,
搥,6425,25637,E0102,19382,uni6425uE0102-JP,uni6425-CN,Hanyo-Denshi,IVS,
搧,6427,25639,E01EA,19387,uni6427-CL,uni6427-CN,PUA,"CL,CM",
搧,6427,25639,E01EB,19388,uni6427-M,uni6427-TW,PUA,M,
搭,642D,25645,E0102,19404,uni642DuE0102-JP,uni642D-CN,Hanyo-Denshi,IVS,
搯,642F,25647,E0102,19409,uni642FuE0102-JP,uni642F-CN,Hanyo-Denshi,IVS,
搽,643D,25661,E0102,19434,uni643DuE0102-JP,uni643D-CN,Hanyo-Denshi,IVS,
搽,643D,25661,E01EA,19435,uni643D-CL,uni643D-TW,PUA,All,
摆,6446,25670,/,19449,uni6446-CN,uni6446-CN,/,All,
摇,6447,25671,/,19450,uni6447-CM,uni6447-CN,/,All,
摊,644A,25674,/,19453,uni644A-CN,uni644A-CN,/,All,
摔,6454,25684,E01EA,19472,uni6454-M,uni6454-CN,PUA,"M,CM",
摘,6458,25688,E0102,19477,uni6458uE0102-JP,uni6458-CN,Hanyo-Denshi,IVS,
摸,6478,25720,E0102,19537,uni6478uE0102-JP,uni6478-TW,Hanyo-Denshi,IVS,
摾,647E,25726,E01EA,19547,uni647E-CL,uni647D-TW,PUA,"CL,CM",
摾,647E,25726,E01EB,19548,uni647E-V-CL,uni647E-CN,PUA,M,
撐,6490,25744,E0102,19575,uni6490-CL,uni6490-CN,Hanyo-Denshi,All,
撞,649E,25758,E0102,19606,uni649EuE0102-JP,uni649E-CN,Hanyo-Denshi,IVS,
撢,64A2,25762,E0100,19610,uni64A2uE0100-JP,uni64A1-CN,Hanyo-Denshi,IVS,
撻,64BB,25787,E0102,19654,uni64BBuE0102-JP,uni64BB-CN,Hanyo-Denshi,IVS,
撾,64BE,25790,E0102,19663,uni64BEuE0102-JP,uni64BE-CN,Hanyo-Denshi,IVS,
據,64DA,25818,E0102,19717,uni64DAuE0102-JP,uni64DA-CN,Hanyo-Denshi,IVS,
擞,64DE,25822,/,19723,uni64DE-CM,uni64DE-CN,/,All,
擢,64E2,25826,E01EA,19731,uni64E2-M,uni64E2-CN,PUA,M,
擪,64EA,25834,E0103,19748,uni64EAuE0103-JP,uni64EA-HK,Hanyo-Denshi,IVS,
擭,64ED,25837,E0102,19754,uni64EDuE0102-JP,uni64ED-CN,Hanyo-Denshi,IVS,
擴,64F4,25844,E0102,19768,uni64F4-CM,uni64F4-CN,Hanyo-Denshi,CM,
攏,650F,25871,E0102,19829,uni650FuE0102-JP,uni650F-CN,Hanyo-Denshi,IVS,
攔,6514,25876,E0102,19839,uni6514uE0102-JP,uni6514-CN,Hanyo-Denshi,IVS,
攤,6524,25892,E0102,19877,uni6524uE0102-JP,uni6524-CN,Hanyo-Denshi,IVS,
攥,6525,25893,/,19878,uni6525-CL,uni6525-CN,/,All,
攬,652C,25900,E0102,19892,uni652CuE0102-JP,uni652C-CN,Hanyo-Denshi,IVS,
攸,6538,25912,E0102,19911,uni6538uE0102-JP,uni6537-CN,Hanyo-Denshi,IVS,
救,6551,25937,E0102,19948,uni6551uE0102-JP,uni6551-CN,Hanyo-Denshi,IVS,
敛,655B,25947,/,19963,uni655B-CN,uni655B-CN,/,All,
敝,655D,25949,E0104,19960,uni655DuE0104-JP,uni6559-CN,Hanyo-Denshi,IVS,
敢,6562,25954,E0103,19973,uni6562uE0103-JP,uni6562-CN,Hanyo-Denshi,IVS,
敦,6566,25958,E0102,19979,uni6566uE0102-JP,uni6566-CN,Hanyo-Denshi,IVS,
敬,656C,25964,E0102,19987,uni656CuE0102-JP,uni656C-TW,Hanyo-Denshi,IVS,
敲,6572,25970,E0102,19995,uni6572uE0102-JP,uni6572-CN,Hanyo-Denshi,IVS,
敵,6575,25973,E0102,20000,uni6575uE0102-JP,uni6575-CN,Hanyo-Denshi,IVS,
數,6578,25976,E0104,20009,uni6578uE0104-JP,uni6578-HK,Moji-Joho,IVS,
斃,6583,25987,E0103,20027,uni6583uE0103-JP,uni6583-CN,Hanyo-Denshi,IVS,
斋,658B,25995,/,20043,uni658B-CL,uni658B-CN,/,All,
斍,658D,25997,/,20046,uni658D-CL,uni658D-CN,/,All,
斎,658E,25998,E0102,20048,uni658EuE0102-JP,uni658E-CN,Moji-Joho,IVS,
斟,659F,26015,E0102,20076,uni659FuE0102-JP,uni659F-CN,Hanyo-Denshi,IVS,
斥,65A5,26021,E0102,20089,uni65A5uE0102-JP,uni65A5-CN,Hanyo-Denshi,IVS,
新,65B0,26032,E01EA,20109,uni65B0-V-CL,uni65B0-CN,PUA,IVS,
斵,65B5,26037,E0102,20122,uni65B5uE0102-JP,uni65B5-CN,Hanyo-Denshi,All,
斷,65B7,26039,E0102,20125,uni65B7uE0102-JP,uni65B7-CN,Hanyo-Denshi,IVS,
旁,65C1,26049,E0102,20144,uni65C1uE0102-JP,uni65C1-CN,Hanyo-Denshi,IVS,
旘,65D8,26072,E0102,20191,uni65D8uE0102-JP,uni65D8-CN,Hanyo-Denshi,IVS,
既,65E2,26082,E0105,20213,uni65E2uE0105-JP,uni65E2-CN,Moji-Joho,IVS,
旳,65F3,26099,E0100,20236,uni65F3-CL,uni65F2-TW,Hanyo-Denshi,CL,
旷,65F7,26103,/,20242,uni65F7-CN,uni65F7-CN,/,All,
昤,6624,26148,E0102,20318,uni6624uE0102-JP,uni6624-CN,Hanyo-Denshi,IVS,
昶,6636,26166,E0102,20344,uni6636uE0102-JP,uni6636-CN,Hanyo-Denshi,All,
晙,6659,26201,E0102,20391,uni6659uE0102-JP,uni6659-CN,Hanyo-Denshi,IVS,
暨,66A8,26280,E01EA,20518,uni66A8-M,uni66A8-CN,PUA,IVS,
暨,66A8,26280,E01EB,20519,uni66C1uE0107-JP,uni66A8-TW,PUA,All,
暭,66AD,26285,E0102,20529,uni66ADuE0102-JP,uni66AD-CN,Hanyo-Denshi,IVS,
暱,66B1,26289,E0102,20535,uni66B1uE0102-JP,uni66B1-CN,Hanyo-Denshi,IVS,
暱,66B1,26289,E0103,20536,uni66B1uE0103-JP,uni66B1-TW,Hanyo-Denshi,IVS,
暱,66B1,26289,E01EA,20525,uni66B1-V-CL,uni66AB-CN,PUA,IVS,
暹,66B9,26297,E0102,20548,uni66B9uE0102-JP,uni66B9-CN,Hanyo-Denshi,IVS,
曁,66C1,26305,E0105,20564,uni66C1uE0105-JP,uni66C1-CN,Hanyo-Denshi,All,
曃,66C3,26307,E0102,20568,uni66C3uE0102-JP,uni66C3-CN,Hanyo-Denshi,IVS,
曄,66C4,26308,E0102,20571,uni66C4uE0102-JP,uni66C4-TW,Hanyo-Denshi,IVS,
曈,66C8,26312,E0102,20579,uni66C8uE0102-JP,uni66C8-CN,Hanyo-Denshi,IVS,
曉,66C9,26313,E0102,20576,uni66C9uE0102-JP,uni66C7-CN,Hanyo-Denshi,IVS,
曌,66CC,26316,E0102,20584,uni66CCuE0102-JP,uni66CC-CN,Hanyo-Denshi,All,
曚,66DA,26330,E0102,20604,uni66DAuE0102-JP,uni66DA-CN,Hanyo-Denshi,IVS,
曚,66DA,26330,E0103,20605,uni66DAuE0103-JP,uni66DA-TW,Hanyo-Denshi,IVS,
曜,66DC,26332,E01EA,20608,uni66DC-M,uni66DC-CN,PUA,"M,CM",
曠,66E0,26336,E0102,20616,uni66E0-CM,uni66E0-CN,Hanyo-Denshi,CM,
曨,66E8,26344,E0102,20630,uni66E8uE0102-JP,uni66E8-CN,Hanyo-Denshi,IVS,
曷,66F7,26359,E0102,20657,uni66F7uE0102-JP,uni66F7-CN,Hanyo-Denshi,IVS,
會,6703,26371,E0102,20685,uni6703uE0102-JP,uni6703-CN,Hanyo-Denshi,IVS,
會,6703,26371,E0103,20686,uni6703uE0103-JP,uni6703-HK,Hanyo-Denshi,IVS,
朌,670C,26380,E01EA,20699,uni670C-KX,uni670C-CN,PUA,All,*月肉分離
朏,670F,26383,E01EA,20705,uni670F-KX,uni670F-CN,PUA,All,*月肉分離
朐,6710,26384,E01EA,32666,uni6710-KX,uni80CA-CN,PUA,All,*月肉分離
朓,6713,26387,E0102,20709,uni6713uE0102-JP,uni6713-CN,Hanyo-Denshi,All,*月肉分離
朔,6714,26388,E0102,20711,uni6714uE0102-JP,uni6714-CN,Hanyo-Denshi,IVS,
朕,6715,26389,E01EA,20714,uni6715-CM,uni6715-TW,PUA,CM,
朗,6717,26391,E0107,20718,uni6717uE0107-JP,uni6717-CN,Hanyo-Denshi,IVS,
朘,6718,26392,E01EA,20719,uni6718-KX,uni6718-CN,PUA,All,*月肉分離
望,671B,26395,E0107,20727,uni671B-CL,uni671B-CN,Hanyo-Denshi,CL,
望,671B,26395,E010A,20728,uni671BuE010A-JP,uni671B-TW,Moji-Joho,IVS,
朞,671E,26398,E0102,20731,uni671CuE0102-JP,uni671C-CN,Hanyo-Denshi,IVS,
朠,6720,26400,E0102,20737,uni6720uE0102-JP,uni6720-TW,Hanyo-Denshi,IVS,
朣,6723,26403,E0102,20744,uni6723uE0102-JP,uni6723-CN,Hanyo-Denshi,IVS,
朦,6726,26406,E0102,20749,uni6726uE0102-JP,uni6726-CN,Hanyo-Denshi,IVS,
朦,6726,26406,E0103,20750,uni6726uE0103-JP,uni6726-TW,Hanyo-Denshi,IVS,
朧,6727,26407,E0102,20752,uni6727uE0102-JP,uni6727-CN,Hanyo-Denshi,IVS,
杀,6740,26432,/,20788,uni6740-CN,uni6740-CN,/,All,
杂,6742,26434,/,20791,uni6742-CN,uni6742-CN,/,All,
杗,6757,26455,E0100,20821,uni6757-CL,uni6757-CN,Hanyo-Denshi,"CL,CM",
杗,6757,26455,E0101,20822,uni6757-M,uni6757-TW,Hanyo-Denshi,M,
杞,675E,26462,E0103,20830,uni675EuE0103-JP,uni675D-TW,Hanyo-Denshi,IVS,
杭,676D,26477,E0102,20851,uni676DuE0102-JP,uni676D-CN,Hanyo-Denshi,IVS,
极,6781,26497,E0102,20883,uni6781uE0102-JP,uni6781-CN,Hanyo-Denshi,IVS,
枃,6783,26499,E01EA,20888,uni6783-CL,uni6784-CN,PUA,All,
枅,6785,26501,E0102,20892,uni6785uE0102-JP,uni6787-CN,Hanyo-Denshi,"CL,CM",
枒,6792,26514,E0102,20911,uni6792uE0102-JP,uni6792-CN,Hanyo-Denshi,All,
枪,67AA,26538,/,20943,uni67AA-CN,uni67AA-CN,/,All,
枹,67B9,26553,E0102,20967,uni67B9uE0102-JP,uni67BB-CN,Hanyo-Denshi,IVS,
柜,67DC,26588,E0102,21017,uni67DC-M,uni67DC-CN,Hanyo-Denshi,M,
柠,67E0,26592,/,21024,uni67E0-CN,uni67E0-CN,/,All,
柺,67FA,26618,E0102,21062,uni67FAuE0102-JP,uni67F8-TW,Hanyo-Denshi,IVS,
査,67FB,26619,E0102,21032,uni67FBuE0102-JP,uni67E5-TW,Hanyo-Denshi,IVS,
核,6838,26680,E0102,21165,uni6838uE0102-JP,uni6838-CN,Hanyo-Denshi,IVS,
桨,6868,26728,/,21236,uni6868-CN,uni6868-CN,/,All,
桩,6869,26729,/,21237,uni6869-CN,uni6869-CN,/,All,
桴,6874,26740,E0102,21256,uni6874uE0102-JP,uni6874-CN,Hanyo-Denshi,M,
桵,6875,26741,E0102,21258,uni6875uE0102-JP,uni6875-CN,Hanyo-Denshi,M,
梁,6881,26753,E0103,21276,uni6881uE0103-JP,uni6881-TW,Hanyo-Denshi,IVS,
梆,6886,26758,E0102,21286,uni6886uE0102-JP,uni6886-CN,Hanyo-Denshi,"CL,CM",
梆,6886,26758,E01EA,21287,uni6886-KX,uni6886-TW,PUA,M,
梥,68A5,26789,E0102,21340,uni68A5uE0102-JP,uni68A5-CN,Hanyo-Denshi,IVS,
梭,68AD,26797,E0102,21355,uni68ADuE0102-JP,uni68AD-CN,Hanyo-Denshi,IVS,
梵,68B5,26805,E0102,21374,uni68B5uE0102-JP,uni68B5-TW,Hanyo-Denshi,IVS,
检,68C0,26816,/,21387,uni68C0-CN,uni68C0-CN,/,All,
棄,68C4,26820,E0102,21392,uni68C4uE0102-JP,uni68C4-CN,Hanyo-Denshi,IVS,
棬,68EC,26860,E01EA,21465,uni68EC-M,uni68EC-CN,PUA,M,
棻,68FB,26875,E0102,21497,uni68FBuE0102-JP,uni68FB-CN,Hanyo-Denshi,IVS,
棻,68FB,26875,E01EA,21498,uni68FB-CN,uni68FB-TW,PUA,IVS,
椇,6907,26887,E0102,21528,uni6907uE0102-JP,uni6908-TW,Hanyo-Denshi,IVS,
椌,690C,26892,E0102,21537,uni690CuE0102-JP,uni690C-CN,Hanyo-Denshi,IVS,
植,690D,26893,E0105,21541,uni690DuE0105-JP,uni690D-HK,Hanyo-Denshi,IVS,
植,690D,26893,E0107,21538,uni690DuE0107-MO,uni690C-TW,MSARG,IVS,
椹,6939,26937,E0102,21610,uni6939uE0102-JP,uni6939-CN,Hanyo-Denshi,IVS,
楔,6954,26964,E0102,21654,uni6954uE0102-JP,uni6954-CN,Hanyo-Denshi,"CL,CM",
楡,6961,26977,E0102,21678,uni6961uE0102-JP,uni6961-CN,Hanyo-Denshi,IVS,
楫,696B,26987,E0103,21696,uni696BuE0103-JP,uni696B-TW,Moji-Joho,IVS,
楮,696E,26990,E0102,21704,uni696E-M,uni696E-CN,Hanyo-Denshi,M,
榄,6984,27012,/,21745,uni6984-CN,uni6984-CN,/,All,
榆,6986,27014,E01EA,21748,uni6986-CM,uni6986-CN,PUA,"CL,CM",
榆,6986,27014,E0102,21749,uni6986uE0102-JP,uni6986-TW,Hanyo-Denshi,IVS,
榒,6992,27026,E0102,21767,uni6992uE0102-JP,uni6992-CN,Hanyo-Denshi,M,
榜,699C,27036,E0102,21786,uni699CuE0102-JP,uni699C-CN,Hanyo-Denshi,IVS,
榣,69A3,27043,E0100,21796,uni69A3-CL,uni69A3-CN,Hanyo-Denshi,All,
榣,69A3,27043,E0101,21797,uni69A3uE0101-JP,uni69A3-TW,Hanyo-Denshi,IVS,
榣,69A3,27043,E0102,21798,uni69A3uE0102-JP,uni69A3-HK,Hanyo-Denshi,IVS,
榣,69A3,27043,E01EA,21794,uni69A3-CN,uni69A1-CN,PUA,IVS,
榦,69A6,27046,E0102,21805,uni69A6uE0102-JP,uni69A6-CN,Hanyo-Denshi,IVS,
槛,69DB,27099,/,21904,uni69DB-CN,uni69DB-CN,/,All,
槤,69E4,27108,E0100,21917,uni69E4uE0100-JP,uni69E4-CN,Hanyo-Denshi,IVS,
槤,69E4,27108,E0101,21918,uni69E4-CL,uni69E4-TW,Hanyo-Denshi,All,
槳,69F3,27123,E01EA,21953,uni69F3-CM,uni69F3-TW,PUA,CM,
樁,6A01,27137,E01EA,21979,uni6A01-CM,uni6A01-CN,PUA,CM,
樁,6A01,27137,E0102,21982,uni6A01uE0102-JP,uni6A02-TW,Hanyo-Denshi,IVS,
樗,6A17,27159,E0102,22018,uni6A17uE0102-JP,uni6A17-CN,Hanyo-Denshi,IVS,
樟,6A1F,27167,E0102,22036,uni6A1FuE0102-JP,uni6A1F-CN,Hanyo-Denshi,IVS,
