文字,文字,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称,No.
滬,滬,6EEC,28396,62476,uni6EECuE0101-JP,24124,uni6EEC-JP,
漫,漫,6F2B,28459,24246,uni6F2B-TW,24245,uni6F2B-CN,
潔,潔,6F54,28500,62482,uni6F54uE0101-JP,24314,uni6F54-KR,
潢,潢,6F62,28514,24346,uni6F62-JP,24347,uni6F62-CN,
潸,潸,6F78,28536,24376,uni6F78-JP,24377,uni6F78-CN,
澳,澳,6FB3,28595,24485,uni6FB3-JP,24486,uni6FB3-CN,
瀆,瀆,7006,28678,24633,uni7006-JP,24634,uni7006-CN,
瀛,瀛,701B,28699,24678,uni701B-JP,24679,uni701B-KR,
灼,灼,707C,28796,24865,uni707C-JP,61962,uni707C-JP90-JP,
煙,煙,7159,29017,62494,uni7159uE0101-JP,25286,uni7159-CN,
煮,煮,716E,29038,58936,uniFA48-JP,25333,uni716E-CN,
煽,煽,717D,29053,25359,uni717D-JP,61966,uni717D-JP90-JP,
爰,爰,7230,29232,25747,uni7230-JP,25748,uni7230-CN,
爵,爵,7235,29237,62501,uni7235uE0102-JP,25754,uni7235-JP,
犢,犢,72A2,29346,25935,uni72A2-JP,25936,uni72A2-CN,
猜,猜,731C,29468,26117,uni731C-JP,62505,uni731CuE0101-JP,
猪,猪,732A,29482,58881,uniFA16-JP,26144,uni732A-CN,
猶,猶,7336,29494,62507,uni7336uE0102-JP,26166,uni7336-JP,
猷,猷,7337,29495,26168,uni7337-JP,61971,uni7337-JP90-JP,
率,率,7387,29575,62509,uni7387uE0101-JP,26317,uni7387-JP,
瑣,瑣,7463,29795,26648,uni7463-JP,26649,uni7463-CN,
璜,璜,749C,29852,26753,uni749C-JP,26754,uni749C-CN,
環,環,74B0,29872,62517,uni74B0uE0101-JP,26794,uni74B0-JP,
甄,甄,7504,29956,62524,uni7504uE0101-JP,26977,uni7504-JP,
癩,癩,7669,30313,27653,uni7669-JP,62537,uni7669uE0101-JP,
的,的,7684,30340,62539,uni7684uE0101-JP,27699,uni7684-CN,
皓,皓,7693,30355,62540,uni7693uE0101-JP,27723,uni7693-CN,
益,益,76CA,30410,58882,uniFA17-JP,27807,uni76CA-JP,
盛,盛,76DB,30427,62543,uni76DBuE0101-JP,27832,uni76DB-CN,
盲,盲,76F2,30450,62545,uni76F2uE0101-JP,27868,uni76F2-JP,
睛,睛,775B,30555,28029,uni775B-JP,28030,uni775B-CN,
睬,睬,776C,30572,28061,uni776C-JP,28062,uni776C-CN,
睹,睹,7779,30585,28079,uni7779-JP,28080,uni7779-CN,
瞥,瞥,77A5,30629,28157,uni77A5-JP,61976,uni77A5-JP90-JP,
矩,矩,77E9,30697,62553,uni77E9uE0101-JP,28281,uni77E9-JP,
砰,砰,7830,30768,28391,uni7830-JP,28392,uni7830-CN,
硝,硝,785D,30813,62556,uni785DuE0101-JP,28443,uni785D-CN,
碌,碌,788C,30860,28514,uni788C-JP,28515,uni788C-CN,
磨,磨,78E8,30952,62560,uni78E8uE0101-JP,28674,uni78E8-JP,
磺,磺,78FA,30970,28709,uni78FA-JP,28710,uni78FA-CN,
礼,礼,793C,31036,58883,uniFA18-JP,28820,uni793C-JP,
社,社,793E,31038,58940,uniFA4C-JP,28824,uni793E-JP,
祀,祀,7940,31040,28828,uni7940-JP,62565,uni7940uE0101-JP,
祁,祁,7941,31041,28830,uni7941-JP,61977,uni7941-JP90-JP,
祇,祇,7947,31047,28842,uni7947-JP,61978,uni7947-JP90-JP,
祈,祈,7948,31048,58942,uniFA4E-JP,28844,uni7948-JP,
祉,祉,7949,31049,58941,uniFA4D-JP,28846,uni7949-JP,
祐,祐,7950,31056,58943,uniFA4F-JP,28848,uni794A-JP,
祖,祖,7956,31062,58944,uniFA50-JP,28869,uni7956-JP,
祝,祝,795D,31069,58945,uniFA51-JP,28883,uni795D-JP,
神,神,795E,31070,58885,uniFA19-JP,28885,uni795E-JP,
祢,祢,7962,31074,28894,uni7962-KR,28893,uni7962-JP,
祥,祥,7965,31077,58886,uniFA1A-JP,28899,uni7965-JP,
禍,禍,798D,31117,58946,uniFA52-JP,28971,uni798D-JP,
禎,禎,798E,31118,58947,uniFA53-JP,28974,uni798E-JP,
福,福,798F,31119,58887,uniFA1B-JP,28976,uni798F-JP,
秤,秤,79E4,31204,29132,uni79E4-JP,61980,uni79E4-JP90-JP,
程,程,7A0B,31243,62572,uni7A0BuE0101-JP,29194,uni7A0B-JP,
稍,稍,7A0D,31245,29198,uni7A0D-JP,29199,uni7A0D-CN,
稠,稠,7A20,31264,29234,uni7A20-JP,29235,uni7A20-CN,
窖,窖,7A96,31382,29477,uni7A96-JP,29478,uni7A96-KR,
竇,竇,7AC7,31431,29600,uni7AC7-JP,29601,uni7AC7-KR,
筑,筑,7B51,31569,62585,uni7B51uE0101-JP,29877,uni7B51-CN,
箸,箸,7BB8,31672,30083,uni7BB8-JP,61987,uni7BB8-JP90-JP,
節,節,7BC0,31680,58950,uniFA56-JP,30096,uni7BC0-JP,
