標準,IVD,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,IVD集,註釋,No.
卸,卸,5378,21368,E0103,11730,uni5378-JP,Moji-Joho,,
卻,卻,537B,21371,E0101,11735,uni537B-JP,Hanyo-Denshi,,
卽,卽,537D,21373,E0101,11740,uni537D-JP,Hanyo-Denshi,,
卿,卿,537F,21375,E0103,61901,uni537F-JP90-JP,Hanyo-Denshi,,
卿,卿,537F,21375,E0104,11743,uni537F-JP,Hanyo-Denshi,,
卿,卿,537F,21375,E0106,61812,u2F833-JP,Hanyo-Denshi,,
厄,厄,5384,21380,E0101,11749,uni5384-CN,Hanyo-Denshi,,
厖,厖,5396,21398,E0101,11771,uni5396-JP,Hanyo-Denshi,,
厥,厥,53A5,21413,E0101,11792,uni53A5-JP,Moji-Joho,,
厩,厩,53A9,21417,E0106,61902,uni53A9-JP90-JP,Hanyo-Denshi,,
厩,厩,53A9,21417,E0107,11800,uni53A9-JP,Hanyo-Denshi,,
厩,厩,53A9,21417,E010A,62144,uni53A9uE0101-JP,Hanyo-Denshi,,
厩,厩,53A9,21417,E010C,62146,uni53A9uE0103-JP,Moji-Joho,,
厰,厰,53B0,21424,E0101,11815,uni53B0-JP,Hanyo-Denshi,,
厲,厲,53B2,21426,E0101,11818,uni53B2-JP,Hanyo-Denshi,,
厷,厷,53B7,21431,E0101,11827,uni53B7-JP,Hanyo-Denshi,,
又,又,53C8,21448,E0101,11857,uni53C8-JP,Moji-Joho,*黑體無捺起筆,
又,又,53C8,21448,E0102,11857,uni53C8-JP,Moji-Joho,,
叉,叉,53C9,21449,E0102,11859,uni53C9-JP,Moji-Joho,,
叉,叉,53C9,21449,E0103,61903,uni53C9-JP90-JP,Moji-Joho,,
