文字,文字,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称,No.,
潛,潛,6F5B,28507,62483,uni6F5BuE0101-JP,24329,uni6F5B-JP,194,
潤,潤,6F64,28516,62485,uni6F64uE0101-JP,24350,uni6F64-JP,195,
潮,潮,6F6E,28526,24362,uni6F6E-CN,61839,u2F90F-JP,196,
瀆,瀆,7006,28678,24634,uni7006-CN,24633,uni7006-JP,197,
瀛,瀛,701B,28699,24679,uni701B-KR,62490,uni701BuE0101-JP,198,
煎,煎,714E,29006,61964,uni714E-JP90-JP,25263,uni714E-JP,199,
煢,煢,7162,29026,25308,uni7162-JP,62495,uni7162uE0101-JP,200,
熳,熳,71B3,29107,25479,uni71B3-CN,62498,uni71B3uE0101-JP,201,
犢,犢,72A2,29346,25936,uni72A2-CN,25935,uni72A2-JP,202,
牘,牘,7258,29272,25820,uni7258-CN,25819,uni7258-JP,203,
牙,牙,7259,29273,25824,uni7259-KR,25823,uni7259-JP,204,
率,率,7387,29575,26317,uni7387-JP,62509,uni7387uE0101-JP,205,
琱,琱,7431,29745,26565,uni7431-CN,26564,uni7431-JP,206,
瓊,瓊,74CA,29898,26842,uni74CA-JP,62519,uni74CAuE0101-JP,207,
瘈,瘈,7608,30216,27441,uni7608-JP,62533,uni7608uE0101-JP,208,
瘦,瘦,7626,30246,62534,uni7626uE0101-JP,27512,uni7626-JP,209,
的,的,7684,30340,27699,uni7684-CN,62539,uni7684uE0101-JP,210,
皓,皓,7693,30355,27723,uni7693-CN,62540,uni7693uE0101-JP,211,
盛,盛,76DB,30427,27832,uni76DB-CN,62543,uni76DBuE0101-JP,212,
盟,盟,76DF,30431,27838,uni76DF-CN,62544,uni76DFuE0101-JP,213,
盲,盲,76F2,30450,27868,uni76F2-JP,62545,uni76F2uE0101-JP,214,
眾,眾,773E,30526,27984,uni773E-JP,27985,uni773E-CN,215,
瞍,瞍,778D,30605,28116,uni778D-JP,62550,uni778DuE0101-JP,216,
硼,硼,787C,30844,28490,uni787C-CN,62558,uni787CuE0101-JP,217,
碰,碰,78B0,30896,28570,uni78B0-JP,28571,uni78B0-CN,218,
程,程,7A0B,31243,29195,uni7A0B-KR,62572,uni7A0BuE0101-JP,219,
稠,稠,7A20,31264,29235,uni7A20-CN,29234,uni7A20-JP,220,
穿,穿,7A7F,31359,29417,uni7A7F-KR,29416,uni7A7F-JP,221,
窖,窖,7A96,31382,29478,uni7A96-KR,29477,uni7A96-JP,222,
竇,竇,7AC7,31431,29601,uni7AC7-KR,29600,uni7AC7-JP,223,
笈,笈,7B08,31496,29730,uni7B08-JP,62584,uni7B08uE0101-JP,224,
