標準,IVD,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,IVD集,註釋,No.
侮,侮,4FAE,20398,E0102,10106,uni4FAE-JP,Hanyo-Denshi,,
侮,侮,4FAE,20398,E0103,58912,uniFA30-JP,Hanyo-Denshi,,
侯,侯,4FAF,20399,E0101,10108,uni4FAF-JP,Hanyo-Denshi,,
侵,侵,4FB5,20405,E0102,10119,uni4FB5-JP,Hanyo-Denshi,,
侵,侵,4FB5,20405,E0103,62082,uni4FB5uE0101-JP,Hanyo-Denshi,,
侹,侹,4FB9,20409,E0101,10124,uni4FB9-JP,Hanyo-Denshi,,
侹,侹,4FB9,20409,E0102,10124,uni4FB9-JP,Hanyo-Denshi,,
侻,侻,4FBB,20411,E0101,10129,uni4FBB-JP,Hanyo-Denshi,,
便,便,4FBF,20415,E0102,10136,uni4FBF-CN,Hanyo-Denshi,,
便,便,4FBF,20415,E0103,62083,uni4FBFuE0101-JP,Hanyo-Denshi,,
俈,俈,4FC8,20424,E0101,10153,uni4FC8-JP,Hanyo-Denshi,,
俊,俊,4FCA,20426,E0101,10157,uni4FCA-JP,Hanyo-Denshi,,
俘,俘,4FD8,20440,E0101,10179,uni4FD8-JP,Hanyo-Denshi,,
倂,倂,5002,20482,E0101,10243,uni5002-JP,Hanyo-Denshi,,
倏,倏,500F,20495,E0101,10267,uni500F-JP,Hanyo-Denshi,,
倐,倐,5010,20496,E0101,10270,uni5010-JP,Hanyo-Denshi,,
倖,倖,5016,20502,E0101,10280,uni5016-JP,Hanyo-Denshi,,
倗,倗,5017,20503,E0101,10282,uni5017-JP,Hanyo-Denshi,,
倜,倜,501C,20508,E0101,10291,uni501C-JP,Hanyo-Denshi,,
倝,倝,501D,20509,E0101,10295,uni501D-JP,Moji-Joho,,
倥,倥,5025,20517,E0101,10306,uni5025-JP,Hanyo-Denshi,,
倦,倦,5026,20518,E0102,61896,uni5026-JP90-JP,Hanyo-Denshi,,
