標準,IVD,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,IVD集,註釋,No.
蛧,蛧,86E7,34535,E0102,36076,uni86E7-CN,Hanyo-Denshi,,
蜩,蜩,8729,34601,E0102,36181,uni8729-CN,Hanyo-Denshi,,
蝹,蝹,8779,34681,E0100,36319,uni8779-TW,Hanyo-Denshi,,
蝹,蝹,8779,34681,E0101,36318,uni8779-CN,Hanyo-Denshi,,
蟀,蟀,87C0,34752,E0102,36454,uni87C0-CN,Hanyo-Denshi,,
蟃,蟃,87C3,34755,E01EE,36459,uni87C3-CN,PUA,Self Use Only,
蟃,蟃,87C3,34755,E01EF,36460,uni87C3-TW,PUA,Self Use Only,
蟫,蟫,87EB,34795,E0102,36529,uni87EB-CN,Hanyo-Denshi,,
裒,裒,88D2,35026,E0102,36945,uni88D2-KR,Hanyo-Denshi,,
裯,裯,88EF,35055,E01EF,37004,uni88EF-KR,PUA,Self Use Only,
覃,覃,8983,35203,E0102,37333,uni8983-CN,Hanyo-Denshi,,
覉,覉,8989,35209,E0102,37345,uni8989-CN,Hanyo-Denshi,,
訝,訝,8A1D,35357,E0106,37601,uni8A1D-KR,Moji-Joho,,
誥,誥,8AA5,35493,E0102,37876,uni8AA5-KR,Hanyo-Denshi,,
誥,誥,8AA5,35493,E0103,37877,uni8AA5-CN,Moji-Joho,,
讀,讀,8B80,35712,E01EF,38357,uni8B80-KR,PUA,Self Use Only,
賆,賆,8CC6,36038,E01EF,38833,uni8CC6-KR,PUA,Self Use Only,
賙,賙,8CD9,36057,E01EF,38865,uni8CD9-CN,PUA,Self Use Only,
賲,賲,8CF2,36082,E0102,38904,uni8CF2-CN,Hanyo-Denshi,,
賺,賺,8CFA,36090,E0102,38916,uni8CFA-CN,Hanyo-Denshi,,
贉,贉,8D09,36105,E0102,38944,uni8D09-CN,Hanyo-Denshi,,
贖,贖,8D16,36118,E01EF,38968,uni8D16-CN,PUA,Self Use Only,
趟,趟,8D9F,36255,E01EF,39146,uni8D9F-CN,PUA,Self Use Only,
趵,趵,8DB5,36277,E01EF,39181,uni8DB5-CN,PUA,Self Use Only,
趹,趹,8DB9,36281,E0103,39186,uni8DB9-CN,Moji-Joho,,
趼,趼,8DBC,36284,E0102,39192,uni8DBC-CN,Hanyo-Denshi,,
蹩,蹩,8E69,36457,E01EF,39470,uni8E69-CN,PUA,Self Use Only,
蹭,蹭,8E6D,36461,E01EF,39477,uni8E6D-CN,PUA,Self Use Only,
蹲,蹲,8E72,36466,E0102,39487,uni8E72-CN,Hanyo-Denshi,,
躇,躇,8E87,36487,E0103,39526,uni8E87-CN,Hanyo-Denshi,,
躑,躑,8E91,36497,E0103,39547,uni8E91-CN,Hanyo-Denshi,,
軜,軜,8EDC,36572,E0102,39678,uni8EDC-CN,Hanyo-Denshi,,
輖,輖,8F16,36630,E0102,39758,uni8F16-CN,Hanyo-Denshi,,
輞,輞,8F1E,36638,E0102,39777,uni8F1E-KR,Hanyo-Denshi,,
迓,迓,8FD3,36819,E01EF,40106,uni8FD3-KR,PUA,Self Use Only,
造,造,9020,36896,E0104,40305,uni9020-KR,Hanyo-Denshi,,
逢,逢,9022,36898,E0104,40314,uni9022-KR,Moji-Joho,,
週,週,9031,36913,E01EF,40347,uni9031-KR,PUA,Self Use Only,
遑,遑,9051,36945,E01EF,40435,uni9051-KR,PUA,Self Use Only,
違,違,9055,36949,E0104,40448,uni9055-KR,Hanyo-Denshi,,
邙,邙,9099,37017,E0102,40627,uni9099-KR,Hanyo-Denshi,,
邦,邦,90A6,37030,E0105,40646,uni90A6-TW,Hanyo-Denshi,,
郜,郜,90DC,37084,E01EF,40726,uni90DC-CN,PUA,Self Use Only,
鄕,鄕,9115,37141,E0102,40819,uni9115-KR,Hanyo-Denshi,,
鄰,鄰,9130,37168,E0103,40872,uni9130-KR,Hanyo-Denshi,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
